year,team,purse_spent,purse_left,player_id,player_name,player_fullname,birthdate,type,cost_inr_lakh,cost_usd,,,status,transferred,overseas,sold_price_in_cr,sold_price
2021,Delhi Capitals,82.85 cr,2.15 cr,550235,Tom Curran,Tom Curran,,AR,525,719000,,719000000,New,FALSE,TRUE,5.25,52500000
2021,Delhi Capitals,82.85 cr,2.15 cr,554691,Axar Patel,Axar Patel,,AR,500,684000,,684000000,Retained,FALSE,FALSE,5,50000000
2021,Delhi Capitals,82.85 cr,2.15 cr,573930,Lukman Meriwala,Lukman Meriwala,,BOW,20,27000,,27000000,New,FALSE,FALSE,0.2,2000000
2021,Delhi Capitals,82.85 cr,2.15 cr,642519,Shreyas Iyer,Shreyas Iyer,,BAT,700,958000,,958000000,Retained,FALSE,FALSE,7,70000000
2021,Delhi Capitals,82.85 cr,2.15 cr,670025,Shimron Hetmyer,Shimron Hetmyer,,BAT,775,1061000,,1061000000,Retained,FALSE,TRUE,7.75,77500000
2021,Delhi Capitals,82.85 cr,2.15 cr,694211,Avesh Khan,Avesh Khan,,BOW,70,95000,,95000000,Retained,FALSE,FALSE,0.7,7000000
2021,Delhi Capitals,82.85 cr,2.15 cr,732293,Vishnu Vinod,Vishnu Vinod,,BAT/WK,20,27000,,27000000,New,FALSE,FALSE,0.2,2000000
2021,Delhi Capitals,82.85 cr,2.15 cr,777515,Praveen Dubey,Praveen Dubey,,AR,20,27000,,27000000,Retained,FALSE,FALSE,0.2,2000000
2021,Delhi Capitals,82.85 cr,2.15 cr,930189,Lalit Yadav,Lalit Yadav,,AR,20,27000,,27000000,Retained,FALSE,FALSE,0.2,2000000
2021,Delhi Capitals,82.85 cr,2.15 cr,931581,Rishabh Pant,Rishabh Pant,,BAT/WK,1500,2054000,,2054000000,Retained,FALSE,FALSE,15,150000000
2021,Rajasthan Royals,71.35 cr,13.65 cr,1079434,Riyan Parag,Riyan Parag,,AR,20,27000,,27000000,Retained,FALSE,FALSE,0.2,2000000
2021,Rajasthan Royals,71.35 cr,13.65 cr,1081442,Mayank Markande,Mayank Markande,,BOW,200,273000,,273000000,Retained,FALSE,FALSE,2,20000000
2021,Rajasthan Royals,71.35 cr,13.65 cr,1122918,Kartik Tyagi,Kartik Tyagi,,BOW,130,178000,,178000000,Retained,FALSE,FALSE,1.3,13000000
2021,Rajasthan Royals,71.35 cr,13.65 cr,1123073,Anuj Rawat,Anuj Rawat,,BAT/WK,80,109000,,109000000,Retained,FALSE,FALSE,0.8,8000000
2021,Rajasthan Royals,71.35 cr,13.65 cr,1131754,Chetan Sakariya,Chetan Sakariya,,BOW,120,164000,,164000000,New,FALSE,FALSE,1.2,12000000
2021,Rajasthan Royals,71.35 cr,13.65 cr,1151278,Yashasvi Jaiswal,Yashasvi Jaiswal,,AR,240,328000,,328000000,Retained,FALSE,FALSE,2.4,24000000
