year,player_id,player_name,team,sold_price,sold_price_in_cr,purse_spent,purse_spent_in_cr,purse_left,purse_left_in_cr,status,transferred,overseas,base_price_in_cr,base_price,auction_result,id_source
2011,265564,Wayne Parnell,Pune Warriors,7259200.0,0.72592,,,,,,,,,,sold,from auction file
2011,36084,Yuvraj Singh,Pune Warriors,81666000.0,8.1666,,,,,,,,,,sold,from auction file
2011,44149,Johan Botha,Rajasthan Royals,43101500.0,4.31015,,,,,,,,,,sold,from auction file
2011,32973,Pankaj Singh,Rajasthan Royals,4310150.0,0.431015,,,,,,,,,,sold,from auction file
2011,10772,Paul Collingwood,Rajasthan Royals,11342500.0,1.13425,,,,,,,,,,sold,from auction file
2011,28114,Rahul Dravid,Rajasthan Royals,22685000.0,2.2685,,,,,,,,,,sold,from auction file
2011,38699,Ross Taylor,Rajasthan Royals,45370000.0,4.537,,,,,,,,,,sold,from auction file
2011,8166,Shane Warne,Rajasthan Royals,81666000.0,8.1666,,,,,,,,,,sold,from auction file
2011,8180,Shane Watson,Rajasthan Royals,58981000.0,5.8981,,,,,,,,,,sold,from auction file
2011,8076,Shaun Tait,Rajasthan Royals,13611000.0,1.3611,,,,,,,,,,sold,from auction file
2011,44936,AB de Villiers,Royal Challengers Bangalore,49907000.0,4.9907,,,,,,,,,,sold,from auction file
2011,310958,Abhimanyu Mithun,Royal Challengers Bangalore,11796200.0,1.17962,,,,,,,,,,sold,from auction file
2011,45963,Charl Langeveldt,Royal Challengers Bangalore,6351800.0,0.63518,,,,,,,,,,sold,from auction file
2011,32540,Cheteshwar Pujara,Royal Challengers Bangalore,31759000.0,3.1759,,,,,,,,,,sold,from auction file
2011,38710,Daniel Vettori,Royal Challengers Bangalore,24953500.0,2.49535,,,,,,,,,,sold,from auction file
2011,6981,Dirk Nannes,Royal Challengers Bangalore,29490500.0,2.94905,,,,,,,,,,sold,from auction file
2011,47693,Johan van der Wath,Royal Challengers Bangalore,2268500.0,0.22685,,,,,,,,,,sold,from auction file
2011,285687,Jonathan Vandiar,Royal Challengers Bangalore,907400.0,0.09074,,,,,,,,,,sold,from auction file
2011,232284,Luke Pomersbasch,Royal Challengers Bangalore,2268500.0,0.22685,,,,,,,,,,sold,from auction file
2011,29990,Mohammad Kaif,Royal Challengers Bangalore,5898100.0,0.58981,,,,,,,,,,sold,from auction file
2011,324358,Nuwan Pradeep,Royal Challengers Bangalore,907400.0,0.09074,,,,,,,,,,sold,from auction file
2011,318845,Rilee Rossouw,Royal Challengers Bangalore,907400.0,0.09074,,,,,,,,,,sold,from auction file
2011,35390,Saurabh Tiwary,Royal Challengers Bangalore,72592000.0,7.2592,,,,,,,,,,sold,from auction file
2011,48472,Tillakaratne Dilshan,Royal Challengers Bangalore,29490500.0,2.94905,,,,,,,,,,sold,from auction file
2011,253802,Virat Kohli,Royal Challengers Bangalore,81666000.0,8.1666,,,,,,,,,,sold,from auction file
2011,30102,Zaheer Khan,Royal Challengers Bangalore,40833000.0,4.0833,,,,,,,,,,sold,from auction file
2012,234675,Ravindra Jadeja,Chennai Super Kings,97928000.0,9.7928,,,,,,,,,,sold,from auction file
2012,5583,Daniel Harris,Deccan Chargers,3427480.0,0.342748,,,,,,,,0.24482,2448200.0,sold,from auction file
2012,277472,Darren Bravo,Deccan Chargers,4896400.0,0.48964,,,,,,,,0.48964,4896400.0,sold,from auction file
2012,32242,Parthiv Patel,Deccan Chargers,31826600.0,3.18266,,,,,,,,0.97928,9792800.0,sold,from auction file
2012,276298,Andre Russell,Delhi Daredevils,22033800.0,2.20338,,,,,,,,0.24482,2448200.0,sold,from auction file
2012,362541,Doug Bracewell,Delhi Daredevils,2448200.0,0.24482,,,,,,,,0.24482,2448200.0,sold,from auction file
2012,19296,Kevin Pietersen,Delhi Daredevils,,,,,,,,,,,,sold,from auction file
2012,49289,Mahela Jayawardene,Delhi Daredevils,68549600.0,6.85496,,,,,,,,1.46892,14689200.0,sold,from auction file
