year,player_name,player_id,base_price_in_cr,base_price,base_price_in_usd,status,id_source
2016,Pawan Negi,530773,0.3,3000000,,sold,already had id
2016,Rajat Bhatia,26907,0.3,3000000,,sold,already had id
2016,Pradeep Sangwan,279545,0.2,2000000,,sold,already had id
2016,Nathu Singh,853259,0.1,1000000,,sold,already had id
2016,Ishwar Pandey,447439,0.2,2000000,,sold,already had id
2016,Ankit Rajpoot,591650,0.1,1000000,,sold,already had id
2016,Pravin Tambe,587152,0.1,1000000,,sold,already had id
2016,Shivil Kaushik,917213,0.1,1000000,,sold,already had id
2016,Sarabjit Ladda,317292,0.1,1000000,,sold,already had id
2016,M Ashwin,528067,0.1,1000000,,sold,already had id
2016,KC Cariappa,777537,0.1,1000000,,sold,already had id
2016,Aaron Finch,5334,1,10000000,,sold,already had id
2016,Sam Billings,297628,0.3,3000000,,sold,already had id
2016,Suman,34281,0.1,1000000,,sold,already had id
2016,Ankush Bains,604534,0.1,1000000,,sold,already had id
2016,Umang Sharma,596945,0.1,1000000,,sold,already had id
2016,Peter Handscomb,334337,0.3,3000000,,sold,already had id
2016,Jitesh Sharma,721867,0.1,1000000,,sold,already had id
2016,Armaan Jaffer,960369,0.1,1000000,,sold,already had id
2016,Jason Holder,391485,0.5,5000000,,sold,already had id
2016,Thisara Perera,233514,1,10000000,,sold,already had id
2016,Ben Cutting,230371,0.5,5000000,,sold,already had id
2016,Andrew Tye,459508,0.3,3000000,,sold,already had id
2016,Praveen Dubey,777515,0.1,1000000,,sold,already had id
2016,R Sathish,33870,0.2,2000000,,sold,already had id
2016,Vijay Shankar,477021,0.1,1000000,,sold,already had id
2016,Shadab Jakati,29655,0.2,2000000,,sold,already had id
2016,Akshay Karnewar,528730,0.1,1000000,,sold,already had id
2016,Akshdeep Nath,500360,0.1,1000000,,sold,already had id
2016,Manan Sharma,339955,0.1,1000000,,sold,already had id
2016,Baba Aparajith,477071,0.1,1000000,,sold,already had id
2016,Deepak Chahar,447261,0.1,1000000,,sold,already had id
2016,Kishore Kamath,919241,0.1,1000000,,sold,already had id
2016,Pardeep Sahu,34155,0.1,1000000,,sold,already had id
2016,Krunal Pandya,471342,0.1,1000000,,sold,already had id
2016,Deepak Punia,807791,0.1,1000000,,sold,already had id
2016,Swapnil Singh,232292,0.1,1000000,,sold,already had id
2016,Khaleel Ahmed,942645,0.1,1000000,,sold,already had id
2016,Jaydev Shah,34997,0.2,2000000,,sold,already had id
2016,Pratyush Singh,717205,0.1,1000000,,sold,already had id
2016,Ashok Dinda,227712,0.5,5000000,,sold,already had id
2016,Kane Richardson,272262,2,20000000,,sold,already had id
2016,Samuel Badree,51433,0.5,5000000,,sold,already had id
2016,Joel Paris,501012,0.3,3000000,,sold,already had id
2016,Scott Boland,446548,0.5,5000000,,sold,already had id
2016,Vikramjeet Malik,31738,0.2,2000000,,sold,already had id
2016,Pawan Suyal,431213,0.1,1000000,,sold,already had id
2016,Adam Zampa,379504,0.3,3000000,,sold,already had id
2016,Amit Mishra,604550,0.1,1000000,,sold,already had id
2016,Jaskaran Singh,376102,0.1,1000000,,sold,already had id
2016,Chama Milind,604616,0.1,1000000,,sold,already had id
2016,Vikas Tokas,474519,0.1,1000000,,sold,already had id
2016,Farhaan Behardien,44410,0.3,3000000,,sold,already had id
2016,Akhil Herwadkar,532851,0.1,1000000,,sold,already had id
2016,Mahipal Lomror,853265,0.1,1000000,,sold,already had id
2016,Martin Guptill,226492,0.5,5000000,,unsold,name match
2016,Rilee Rossouw,318845,1,10000000,,unsold,name match
2016,Cheteshwar Pujara,32540,0.5,5000000,,unsold,name match
2016,Hashim Amla,43906,1,10000000,,unsold,name match
2016,George Bailey,4451,1,10000000,,unsold,name match
2016,S Badrinath,26806,0.5,5000000,,unsold,name match
