player_name,country,playing_role,date_of_birth,age,batting_style,bowling_style,career_span,input_url,warning,warning_code,error,matches,wickets,batting_average,strike_rate,Balls,BBI,Ave,Econ,SR,Inns,NO,runs,HS,50s,5
Srikkanth Anirudha,India,Top order Batter,"April 14, 1987, Madras (now Chennai), Tamil Nadu",39y 61d,Right hand Bat,,,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,20,,17.00,120.35,,-,,,,13.0,5.0,136.0,64.0,1.0,
S Badrinath,India,Middle order Batter,"August 30, 1980, Madras (now Chennai), Tamil Nadu",45y 288d,Right hand Bat,Right arm Offbreak,INTL CAREER: 2008 - 2011,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,95,,30.65,118.89,,-,,,,67.0,20.0,1441.0,71.0,11.0,
Shivam Dube,India,Allrounder,"June 26, 1993, Mumbai",32y 353d,Left hand Bat,Right arm Medium,INTL CAREER: 2019 - 2026,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,92,6.0,31.30,145.42,154.0,2/15,46.16,10.79,25.6,87.0,19.0,2129.0,95.0,10.0,
Jamie Overton,England,Bowling Allrounder,"April 10, 1994, Barnstaple, Devon",32y 65d,Right hand Bat,Right arm Fast,INTL CAREER: 2013 - 2026,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,13,14.0,37.75,162.36,204.0,4/18,23.71,9.76,14.5,8.0,4.0,151.0,43.0,,1.0
Chamara Kapugedera,Sri Lanka,Middle order Batter,"February 24, 1987, Kandy",39y 110d,Right hand Bat,Right arm Medium,INTL CAREER: 2006 - 2017,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,5,,5.33,69.56,17.0,-,,17.29,,3.0,,16.0,8.0,,
Abhinav Mukund,India,Top order Batter,"January 06, 1990, Madras (now Chennai), Tamil Nadu",36y 159d,Left hand Bat,Legbreak Googly,INTL CAREER: 2011 - 2017,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,3,,9.50,86.36,,-,,,,2.0,,19.0,19.0,,
Matheesha Pathirana,Sri Lanka,Bowler,"December 18, 2002, Kandy",23y 178d,Right hand Bat,Right arm Fast,INTL CAREER: 2022 - 2026,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,33,47.0,-,-,710.0,4/28,21.8,8.66,15.1,,,,,,1.0
Vijay Shankar,India,Allrounder,"January 26, 1991, Tirunelveli, Tamil Nadu",35y 139d,Right hand Bat,Right arm Medium,INTL CAREER: 2018 - 2019,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,78,9.0,26.23,129.78,238.0,2/19,38.22,8.67,26.4,65.0,18.0,1233.0,69.0,7.0,
Chris Jordan,England,Bowler,"October 04, 1988, Barbados",37y 253d,Right hand Bat,Right arm Fast medium,INTL CAREER: 2013 - 2024,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,34,30.0,8.10,105.19,668.0,4/11,35.66,9.61,22.2,13.0,3.0,81.0,30.0,,1.0
Ben Stokes,England,Allrounder,"June 04, 1991, Christchurch, Canterbury, New Zealand",35y 10d,Left hand Bat,Right arm Fast medium,INTL CAREER: 2011 - 2026,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,45,28.0,24.60,133.95,689.0,3/15,35.42,8.63,24.6,44.0,6.0,935.0,107.0,2.0,
