year,player_name,player_id,base_price_in_cr,base_price_in_usd,status,source_text
2019,Saurabh Tiwary,35390,0.5,,unsold,Saurabh Tiwary (Base price INR 50 lakhs)
2019,Hashim Amla,43906,1,,unsold,Hashim Amla (Base price INR 1 crore)
2019,James Neesham,355269,0.75,,unsold,James Neesham (Base price INR 75 lakhs)
2019,Angelo Mathews,49764,2,,unsold,Angelo Mathews (Base price INR 2 crores)
2019,Rishi Dhawan,290727,0.5,,unsold,Rishi Dhawan (Base price INR 50 lakhs)
2019,Corey Anderson,277662,2,,unsold,Corey Anderson (Base price INR 2 crores)
2019,Parvez Rasool,378496,0.5,,unsold,Parvez Rasool (Base price INR 50 lakhs)
2019,Jason Holder,391485,0.75,,unsold,Jason Holder (Base price INR 75 lakhs)
2019,Luke Ronchi,7502,0.75,,unsold,Luke Ronchi (Base price INR 75 lakhs)
2019,Mushfiqur Rahim,56029,0.5,,unsold,Mushfiqur Rahim (Base price INR 50 lakhs)
2019,Kusal Perera,300631,0.75,,unsold,Kusal Perera (Base price INR 75 lakhs)
2019,Glenn Phillips,823509,0.5,,unsold,Glenn Phillips (Base price INR 50 lakhs)
2019,Vinay Kumar,35731,0.5,,unsold,Vinay Kumar (Base price INR 50 lakhs)
2019,Kane Richardson,272262,1,,unsold,Kane Richardson (Base price INR 1 crore)
2019,Abhimanyu Mithun,310958,0.5,,unsold,Abhimanyu Mithun (Base price INR 50 lakhs)
2019,Morne Morkel,46538,1.5,,unsold,Morne Morkel (Base price INR 1.5 crores)
2019,Dale Steyn,47492,1.5,,unsold,Dale Steyn (Base price INR 1.5 crores)
2019,Praveen Dubey,777515,0.2,,unsold,Praveen Dubey (Base price INR 20 lakhs)
2019,Qais Ahmad,914171,0.2,,unsold,Qais Ahmad (Base price INR 20 lakhs)
2019,Satyajeet Bachhav,591653,0.2,,unsold,Satyajeet Bachhav (Base price INR 20 lakhs)
2019,Rilee Rossouw,318845,1.5,,unsold,Rilee Rossouw (Base price INR 1.5 crores)
2019,Daniel Christian,4864,1,,unsold,Daniel Christian (Base price INR 1 crore)
2019,Manpreet Gony,317293,0.5,,unsold,Manpreet Gony (Base price INR 50 lakhs)
2019,Ali Khan,927119,0.4,,unsold,Ali Khan (Base price INR 40 lakhs)
2019,James Pattinson,272465,1,,unsold,James Pattinson (Base price INR 1 crore)
2019,Himanshu Rana,816599,0.2,,unsold,Himanshu Rana (Base price INR 20 lakhs)
2019,Lewis Gregory,362201,0.4,,unsold,Lewis Gregory (Base price INR 40 lakhs)
2019,Vishnu Vinod,732293,0.2,,unsold,Vishnu Vinod (Base price INR 20 lakhs)
2019,Patrick Brown,396884,0.4,,unsold,Patrick Brown (Base price INR 40 lakhs)
2019,Jaskaran Singh,543922,0.2,,unsold,Jaskaran Singh (Base price INR 20 lakhs)
2019,Sandeep Warrier,592735,0.2,,unsold,Sandeep Warrier (Base price INR 20 lakhs)
2019,Fabian Allen,670013,0.5,,unsold,Fabian Allen (Base price INR 50 lakhs)
2019,Sikandar Raza,299572,0.75,,unsold,Sikandar Raza (Base price INR 75 lakhs)
2019,Sairaj Patil,1079560,0.2,,unsold,Sairaj Patil (Base price INR 20 lakhs)
2019,Swapnil Singh,232292,0.2,,unsold,Swapnil Singh (Base price INR 20 lakhs)
2019,Lalit Yadav,930189,0.2,,unsold,Lalit Yadav (Base price INR 20 lakhs)
2019,Laurie Evans,256956,0.4,,unsold,Laurie Evans (Base price INR 40 lakhs)
2019,Jamie Overton,510530,0.4,,unsold,Jamie Overton (Base price INR 40 lakhs)
2019,Akash Parkar,714461,0.2,,unsold,Akash Parkar (Base price INR 20 lakhs)
2019,Karn Kaushal,1159773,0.2,,unsold,Karn Kaushal (Base price INR 20 lakhs)
2019,Mayank Dagar,942367,0.2,,unsold,Mayank Dagar (Base price INR 20 lakhs)
2019,Zeeshan Ansari,942371,0.2,,unsold,Zeeshan Ansari (Base price INR 20 lakhs)
2019,Kedar Devdhar,340063,0.2,,unsold,Kedar Devdhar (Base price INR 20 lakhs)
2019,Tanmay Mishra,24790,0.2,,unsold,Tanmay Mishra (Base price INR 20 lakhs)
2019,Aman Khan,1119011,0.2,,unsold,Aman Khan (Base price INR 20 lakhs)
2020,Chris Lynn,326637,2,,sold,Chris Lynn (Base price INR 2 crore) sold to Mumbai Indians for INR 2 crore
2020,Eoin Morgan,24598,1.5,,sold,Eoin Morgan (Base price INR 1.50 crore) sold to Kolkata Knight Riders for INR 5.25 crore
2020,Robin Uthappa,35582,1.5,,sold,Robin Uthappa (Base price INR 1.5 crore) sold to Rajasthan Royals for INR 3 crore
2020,Jason Roy,298438,1.5,,sold,Jason Roy (Base price INR 1.5 crore) sold to Delhi Capitals for INR 1.5 crore
2020,Aaron Finch,5334,1,,sold,Aaron Finch (Base price INR 1 crore) sold to Royal Challengers Bangalore for INR 4.4 crore
2020,Glenn Maxwell,325026,2,,sold,Glenn Maxwell (Base price INR 2 crore) sold to Kings XI Punjab for INR 10.75 crore
2020,Chris Woakes,247235,1.5,,sold,Chris Woakes (Base price INR 1.5 crore) sold to Delhi Capitals for INR 1.5 crore
2020,Pat Cummins,489889,2,,sold,Pat Cummins (Base price INR 2 crore) sold to Kolkata Knight Riders for INR 15.50 crore
2020,Sam Curran,662973,1,,sold,Sam Curran (Base price INR 1 crore) sold to Chennai Super Kings for INR 5.50 crore
2020,Chris Morris,439952,1.5,,sold,Chris Morris (Base price INR 1.50 crore) sold to Royal Challengers Bangalore for INR 10 crore
2020,Alex Carey,326434,0.5,,sold,Alex Carey (Base price INR 50 lakh) sold to Delhi Capitals for INR 2.4 crore
2020,Jaydev Unadkat,390484,1,,sold,Jaydev Unadkat (Base price INR 1 crore) sold to Rajasthan Royals for INR 3 crore
2020,Nathan Coulter-Nile,261354,1,,sold,Nathan Coulter-Nile (Base price INR 1 crore) sold to Mumbai Indians for INR 8 crore
2020,Sheldon Cottrell,495551,0.5,,sold,Sheldon Cottrell (Base price INR 50 lakh) sold to Kings XI Punjab for INR 8.5 crore
2020,Piyush Chawla,32966,1,,sold,Piyush Chawla (Base price INR 1 crore) sold to Chennai Super Kings for INR 6.75 crore
2020,Rahul Tripathi,446763,0.2,,sold,Rahul Tripathi (Base price INR 20 lakh) sold to Kolkata Knight Riders for INR 60 lakh
2020,Virat Singh,720465,0.2,,sold,Virat Singh (Base price INR 20 lakhs) sold to Sunrisers Hyderabad for INR 1.9 crores
2020,Priyam Garg,1070180,0.2,,sold,Priyam Garg (Base price INR 20 lakh) sold to Sunrisers Hyderabad for INR 1.9 crore
2020,Deepak Hooda,497121,0.4,,sold,Deepak Hooda (Base price INR 40 lakh) sold to Kings XI Punjab for INR 50 lakh
2020,Varun Chakravarthy,1108375,0.3,,sold,Varun Chakravarthy (Base price INR 30 lakh) sold to Kolkata Knight Riders for INR 4 crore
2020,Yashasvi Jaiswal,1151278,0.2,,sold,Yashasvi Jaiswal (Base price INR 20 lakh) sold to Rajasthan Royals for INR 2.4 crore
2020,Anuj Rawat,1123073,0.2,,sold,Anuj Rawat (Base price 20 lakh) sold to Rajasthan Royals for INR 80 lakh
2020,Akash Singh,1175458,0.2,,sold,Akash Singh (Base price INR 20 lakh) sold to Rajasthan Royals for INR 20 lakh
2020,Kartik Tyagi,1122918,0.2,,sold,Kartik Tyagi (Base price INR 20 lakh) sold to Rajasthan Royals for INR 1.3 crore
2020,Ishan Porel,967603,0.2,,sold,Ishan Porel (Base price INR 20 lakh) sold to Kings XI Punjab for INR 20 lakh
